,url,Título,Conteudo
0,https://g1.globo.com/g1-em-1-minuto/playlist/videos-g1-em-1-minuto.ghtml,"['VÍDEOS: G1 em 1 Minuto, com Paula Paiva, Luiza Tenente, Carol Prado e Gabi Gonçalves', 'G1', 'G1']",  
0,https://g1.globo.com/df/distrito-federal/o-que-fazer-no-distrito-federal/noticia/2020/11/07/festival-internacional-cinema-e-transcendencia-comeca-neste-sabado-com-atividades-online-e-gratuitas.ghtml,"['Festival Internacional Cinema e Transcendência começa neste sábado com atividades online e gratuitas | O que fazer no Distrito Federal | G1', 'G1', 'Newsletter G1', 'G1']"," Por G1 DF  As três semanas de programação incluem também lives com Monja Cohen e com o neurocientista Sidarta Ribeiro. Serão oferecidas ainda sessões de prática de meditação sonora e um fim de semana em homenagem ao Dia da Consciência Negra, comemorado no dia 20 de novembro. A curadoria do evento é do cineasta e músico André Luiz Oliveira e da produtora e diretora Carina Bini.  Um dos filmes inéditos deste ano é ""Psicomagia"", a mais recente produção do chileno Alejandro Jodorowsky. A obra cinematográfica abre a programação e terá exibição única, neste sábado, às 21h.  Psicomagia é o nome que o escritor chileno dá a uma técnica por ele criada e exercida, de suposta cura física, mental e espiritual. A técnica é uma mistura de arte, psicoterapia moderna e filosofia oriental, em particular o zen budismo.  Segundo Jodorowsky, ""a psicomagia não pretende ser uma ciência e sim uma forma de arte que possui virtudes terapêuticas"".  Diretor André Luiz Oliveira e a assistente de direção, Melina Bonfim, do filme ""O outro lado da memória"", premiado no 51º Festival de Brasília do Cinema Brasileiro — Foto: Júnior Aragão/Divulgação  Outra obra inédita que compõe a programação é ""O Outro Lado da Memória"", que conta a saga do diretor para filmar o épico livro ""Viva o Povo Brasileiro"", obra-prima de João Ubaldo Ribeiro.  ""O filme revela o trabalho realizado pelos produtores, pelo diretor e roteirista André Luiz Oliveira e equipe, ao longo de quase uma década (1996 a 2005) de preparação deste épico brasileiro até a sua dramática interrupção duas semanas antes do início das filmagens"", explicam os organizadores. O que aconteceu hoje, diretamente no seu e-mailObrigado! Você acaba de se inscrever na newsletter Resumo do dia. Veja também"
0,https://g1.globo.com/fantastico/quadros/fant-360/noticia/2019/10/13/fant-360-renata-ceribelli-conhece-os-maori-primeiros-habitantes-da-nova-zelandia.ghtml,"['Fant 360: Renata Ceribelli conhece os maori, primeiros habitantes da Nova Zelândia | Fant 360 | G1', 'G1', 'Newsletter G1', 'G1']"," Por Fantástico  Fant 360: Renata Ceribelli conhece os maori, primeiros habitantes da Nova Zelândia  O parque de Rotorua foi criado para preservar a natureza igualzinha a séculos atrás. Lá, encontramos os gêiseres, que são fenômenos raros, que existem em poucas partes do mundo. O Pohutu tem uma característica interessante: ele jorra água e vapor de hora em hora a uma altura de até 30 metros.  A repórter Renata Ceribelli conheceu algumas curiosidades da cultura maori, os primeiros habitantes da Nova Zelândia. Na hora de cumprimentar, nariz com nariz, e tatuagem é algo quase sagrado. Renata fez sua primeira tatuagem durante a viagem. Um desenho cheio de significados. Embarque nessa viagem em 360º. O que aconteceu hoje, diretamente no seu e-mailObrigado! Você acaba de se inscrever na newsletter Resumo do dia. Veja também"
0,https://g1.globo.com/go/goias/cidade/goiania/,"['Goiânia | Cidade | G1', 'G1', 'G1']","Em breve!Estamos providenciando conteúdo dessa página, aguarde."
0,https://g1.globo.com/sp/presidente-prudente-regiao/noticia/2020/11/06/idoso-atropelado-na-faixa-de-pedestre-esta-em-estado-gravissimo-na-uti-do-hospital-regional.ghtml,"['Idoso atropelado na faixa de pedestre está em estado gravíssimo na UTI do Hospital Regional; veja VÍDEO | Presidente Prudente e Região | G1', 'G1', 'Newsletter G1', 'G1']"," Por G1 Presidente Prudente  Idoso é atropelado na faixa de pedestre no Centro de Presidente Prudente  A vítima atravessava a Avenida Manoel Goulart pela faixa de pedestre, no sentido bairro–Centro, quando foi atingida pelo caminhão.  Já o caminhão trafegava pela Avenida Brasil e adentrava o sentido bairro–Centro da Avenida Manoel Goulart.  O vídeo ainda mostra que a vítima, ao perceber a aproximação do caminhão, tenta correr para evitar o atropelamento, mas não consegue escapar.  Em nota nesta sexta-feira (6), o HR informou que o homem deu entrada no Pronto-socorro da unidade e foi prontamente atendido pela equipe médica e multiprofissional.  A Polícia Militar informou que o caminhão, com placas de Araçatuba (SP), transitava pela Avenida Brasil, no sentido bairro–Centro, quando entrou na Avenida Manoel Goulart e acabou atingindo a vítima que atravessava pela faixa de pedestre.  Idoso foi atropelado na faixa de pedestre no Centro de Presidente Prudente — Foto: Cedida  Idoso foi atropelado na faixa de pedestre no Centro de Presidente Prudente — Foto: Cedida O que aconteceu hoje, diretamente no seu e-mailObrigado! Você acaba de se inscrever na newsletter Resumo do dia. Veja também"
0,https://g1.globo.com/podcast/g1-ouviu/noticia/2020/10/18/g1-ouviu-111-mtv-brasil-30-anos-como-o-canal-influenciou-a-cultura-pop.ghtml,"['G1 Ouviu #111- MTV Brasil 30 anos: como o canal influenciou a cultura pop? | G1 Ouviu | G1', 'G1', 'Newsletter G1', 'G1']"," Por Gabriela Sarmento e Rodrigo Ortega, G1  Um podcast é como se fosse um programa de rádio, mas não é: em vez de ter uma hora certa para ir ao ar, pode ser ouvido quando e onde a gente quiser. E em vez de sintonizar numa estação de rádio, a gente acha na internet. De graça.  Dá para escutar num site, numa plataforma de música ou num aplicativo só de podcast no celular, para ir ouvindo quando a gente preferir: no trânsito, lavando louça, na praia, na academia...  Os podcasts podem ser temáticos, contar uma história única, trazer debates ou simplesmente conversas sobre os mais diversos assuntos. É possível ouvir episódios avulsos ou assinar um podcast – de graça - e, assim, ser avisado sempre que um novo episódio for publicado.  G1 ouviu, podcast de música do G1 — Foto: G1/Divulgação O que aconteceu hoje, diretamente no seu e-mailObrigado! Você acaba de se inscrever na newsletter Resumo do dia. Veja também"
0,https://g1.globo.com/g1-em-1-minuto/playlist/videos-g1-em-1-minuto.ghtml#video-8889313-id,"['VÍDEOS: G1 em 1 Minuto, com Paula Paiva, Luiza Tenente, Carol Prado e Gabi Gonçalves', 'G1', 'G1']",  
0,https://g1.globo.com/g1-em-1-minuto/playlist/videos-g1-em-1-minuto.ghtml#video-8840253-id,"['VÍDEOS: G1 em 1 Minuto, com Paula Paiva, Luiza Tenente, Carol Prado e Gabi Gonçalves', 'G1', 'G1']",  
0,https://g1.globo.com/g1-em-1-minuto/playlist/videos-g1-em-1-minuto.ghtml#video-8836435-id,"['VÍDEOS: G1 em 1 Minuto, com Paula Paiva, Luiza Tenente, Carol Prado e Gabi Gonçalves', 'G1', 'G1']",  
0,https://g1.globo.com/g1-em-1-minuto/playlist/videos-g1-em-1-minuto.ghtml#video-8904941-id,"['VÍDEOS: G1 em 1 Minuto, com Paula Paiva, Luiza Tenente, Carol Prado e Gabi Gonçalves', 'G1', 'G1']",  
0,https://g1.globo.com/economia/pme/pequenas-empresas-grandes-negocios/noticia/2020/10/25/pequenas-empresas-and-grandes-negocios-contatos-de-25102020.ghtml,"['Pequenas Empresas &amp; Grandes Negócios: contatos de 25/10/2020 | Pequenas Empresas &amp; Grandes Negócios | G1', 'G1', 'Newsletter G1', 'G1']","O que aconteceu hoje, diretamente no seu e-mailObrigado! Você acaba de se inscrever na newsletter Resumo do dia. Veja também"
